datetime,temp,on_sec(s),power(%),P,I,D,PID
20230914 21:05:24,60.125,0.5116862438538858,0.10233724877077716,-0.06199999999999761,0.152951957718718,-0.03719999999999857,0.0
20230914 21:05:29,60.25,0,0,-0.125,0.01947568019056986,-0.037399999999999524,0.0
20230914 21:05:35,60.312,0,0,-0.3119999999999976,-0.2041544120177688,-0.037399999999999524,0.0
20230914 21:05:40,60.375,0,0,-0.3119999999999976,-0.39847607855823913,-0.037399999999999524,0.0
20230914 21:05:46,60.437,0,0,-0.375,-0.5406704017023446,-0.037399999999999524,0.0
20230914 21:05:52,60.437,0,0,-0.4369999999999976,-0.7281704017023446,-0.025,0.0
20230914 21:05:57,60.437,0,0,-0.4369999999999976,-0.8946142519697232,-0.012600000000000477,0.0
20230914 21:06:02,60.5,0,0,-0.4369999999999976,-0.9709042875569114,0.0,0.0
20230914 21:06:07,60.5,0,0,-0.5,-1.064003287925317,-0.012600000000000477,0.0
20230914 21:06:12,60.5,0,0,-0.5,-1.1408089647812125,-0.012600000000000477,0.0
20230914 21:06:17,60.5,0,0,-0.5,-1.1723089647812137,-0.012600000000000477,0.0
20230914 21:06:23,60.562,0,0,-0.5619999999999976,-1.2202138612030597,-0.012399999999999523,0.0
20230914 21:06:28,60.5,0,0,-0.5619999999999976,-1.2681187576249058,-0.024799999999999045,0.0
20230914 21:06:34,60.5,0,0,-0.5,-1.2992146892655347,-0.012399999999999523,0.0
20230914 21:06:39,60.5,0,0,-0.5,-1.2992146892655345,0.0,0.0
20230914 21:06:44,60.5,0,0,-0.5,-1.2992146892655345,0.012399999999999523,0.0
20230914 21:06:50,60.5,0,0,-0.5,-1.2828097928436897,0.0,0.0
20230914 21:06:55,60.5,0,0,-0.5,-1.2664048964218448,0.0,0.0
20230914 21:07:01,60.5,0,0,-0.5,-1.25,0.0,0.0
20230914 21:07:07,60.5,0,0,-0.5,-1.25,0.0,0.0
20230914 21:07:12,60.5,0,0,-0.5,-1.25,0.0,0.0
20230914 21:07:17,60.437,0,0,-0.5,-1.25,0.0,0.0
20230914 21:07:22,60.437,0,0,-0.4369999999999976,-1.235308964781216,0.012600000000000477,0.0
20230914 21:07:27,60.437,0,0,-0.4369999999999976,-1.203808964781215,0.012600000000000477,0.0
20230914 21:07:32,60.437,0,0,-0.4369999999999976,-1.1723089647812137,0.012600000000000477,0.0
20230914 21:07:37,60.437,0,0,-0.4369999999999976,-1.1408089647812125,0.0,0.0
20230914 21:07:44,60.437,0,0,-0.4369999999999976,-1.1093089647812113,0.0,0.0
20230914 21:07:49,60.437,0,0,-0.4369999999999976,-1.092499999999994,0.0,0.0
20230914 21:07:54,60.375,0,0,-0.4369999999999976,-1.092499999999994,0.0,0.0
20230914 21:07:59,60.375,0,0,-0.375,-1.0614999999999952,0.0,0.0
20230914 21:08:05,60.375,0,0,-0.375,-1.0304999999999964,0.0,0.0
20230914 21:08:10,60.312,0,0,-0.375,-0.9994999999999976,0.0,0.0
20230914 21:08:15,60.312,0,0,-0.3119999999999976,-0.9541943231441031,0.012600000000000477,0.0
20230914 21:08:21,60.312,0,0,-0.3119999999999976,-0.8916943231441031,0.012600000000000477,0.0
20230914 21:08:26,60.312,0,0,-0.3119999999999976,-0.8601943231441019,0.012600000000000477,0.0
20230914 21:08:31,60.312,0,0,-0.3119999999999976,-0.8286943231441007,0.0,0.0
20230914 21:08:37,60.312,0,0,-0.3119999999999976,-0.7971943231440995,0.0,0.0
20230914 21:08:42,60.312,0,0,-0.3119999999999976,-0.779999999999994,0.0,0.0
20230914 21:08:47,60.25,0,0,-0.3119999999999976,-0.779999999999994,0.0,0.0
20230914 21:08:52,60.25,0,0,-0.25,-0.7662099644128059,0.012399999999999523,0.0
20230914 21:08:57,60.25,0,0,-0.25,-0.7352099644128071,0.012399999999999523,0.0
20230914 21:09:02,60.25,0,0,-0.25,-0.7042099644128083,0.012399999999999523,0.0
20230914 21:09:09,60.187,0,0,-0.1869999999999976,-0.6597305593784841,0.012600000000000477,0.0
20230914 21:09:14,60.187,0,0,-0.1869999999999976,-0.61525115434416,0.025200000000000954,0.0
20230914 21:09:19,60.187,0,0,-0.1869999999999976,-0.5665411899313482,0.025200000000000954,0.0
20230914 21:09:25,60.187,0,0,-0.1869999999999976,-0.535041189931347,0.012600000000000477,0.0
20230914 21:09:30,60.187,0,0,-0.1869999999999976,-0.5035411899313458,0.0,0.0
20230914 21:09:35,60.187,0,0,-0.1869999999999976,-0.4855205949656699,0.0,0.0
20230914 21:09:40,60.187,0,0,-0.1869999999999976,-0.46749999999999403,0.0,0.0
20230914 21:09:45,60.125,0,0,-0.1869999999999976,-0.46749999999999403,0.0,0.0
20230914 21:09:50,60.125,0,0,-0.125,-0.4550801282051226,0.012399999999999523,0.0
20230914 21:09:55,60.062,0,0,-0.125,-0.4240801282051238,0.012399999999999523,0.0
20230914 21:10:00,60.062,0,0,-0.06199999999999761,-0.3826362779377452,0.025,0.0
20230914 21:10:05,60.062,0,0,-0.06199999999999761,-0.3201362779377452,0.012600000000000477,0.0
20230914 21:10:10,60.062,0,0,-0.06199999999999761,-0.2576362779377452,0.012600000000000477,0.0
20230914 21:10:15,60.062,0,0,-0.06199999999999761,-0.2075561497326166,0.0,0.0
20230914 21:10:20,60.062,0,0,-0.06199999999999761,-0.1760561497326154,0.0,0.0
20230914 21:10:25,60.062,0,0,-0.06199999999999761,-0.15499999999999403,0.0,0.0
20230914 21:10:30,60.062,0,0,-0.06199999999999761,-0.15499999999999403,0.0,0.0
20230914 21:10:35,60.0,0,0,-0.06199999999999761,-0.15499999999999403,0.0,0.0
20230914 21:10:41,60.0,0,0,0.0,-0.15499999999999403,0.012399999999999523,0.0
20230914 21:10:46,60.0,0,0,0.0,-0.15499999999999403,0.012399999999999523,0.0
20230914 21:10:51,60.0,0,0,0.0,-0.15499999999999403,0.012399999999999523,0.0
20230914 21:10:56,60.0,0,0,0.0,-0.15499999999999403,0.012399999999999523,0.0
20230914 21:11:01,59.937,0,0,0.0,-0.15499999999999403,0.012399999999999523,0.0
20230914 21:11:07,59.937,0,0,0.06300000000000239,-0.09249999999999403,0.012399999999999523,0.0
20230914 21:11:12,59.937,0.09925000000005117,0.019850000000010234,0.06300000000000239,-0.02999999999999403,0.012399999999999523,0.0
20230914 21:11:18,59.875,0.4142500000000631,0.08285000000001262,0.06300000000000239,0.03250000000000597,0.0,0.0
