date,Open,High,Low,Close,Volume
2024-04-15 10:43:00,140.6,140.6,140.58,140.58,535.0
2024-04-15 10:44:00,140.58,140.585,140.51,140.51,1331.0
2024-04-15 10:45:00,140.485,140.485,140.32,140.42,2473.0
2024-04-15 10:46:00,140.38,140.47,140.38,140.47,1241.0
2024-04-15 10:47:00,140.395,140.47,140.395,140.47,681.0
2024-04-15 10:48:00,140.53,140.59,140.53,140.59,1466.0
2024-04-15 10:49:00,140.62,140.68,140.62,140.67,755.0
2024-04-15 10:50:00,140.65,140.65,140.59,140.61,848.0
2024-04-15 10:51:00,140.64,140.64,140.64,140.64,533.0
2024-04-15 10:52:00,140.67,140.685,140.67,140.685,1052.0
2024-04-15 10:53:00,140.665,140.721,140.655,140.655,1130.0
2024-04-15 10:54:00,140.65,140.65,140.58,140.58,1066.0
2024-04-15 10:55:00,140.47,140.5,140.455,140.458,1059.0
2024-04-15 10:56:00,140.5,140.58,140.48,140.58,2529.0
2024-04-15 10:57:00,140.56,140.56,140.56,140.56,354.0
2024-04-15 10:58:00,140.535,140.56,140.535,140.56,533.0
