datetime,temp,on_sec(s),power(%),P,I,D,PID
20230910 06:43:09,59.812,5,1,5.25,13.485451313928191,-0.037399999999999524,0.0
20230910 06:43:15,59.875,5,1,5.125,13.297957836583684,-0.03760000000000048,0.0
20230910 06:43:20,59.875,5,1,5.125,13.141716191259867,-0.03780000000000143,0.0
20230910 06:43:26,60.062,5,1,5.125,13.03212627733771,-0.025200000000000954,0.0
20230910 06:43:32,60.062,5,1,4.938000000000002,12.829036363415554,-0.012600000000000477,0.0
20230910 06:43:37,60.062,5,1,4.938000000000002,12.657192427033845,0.0,0.0
20230910 06:43:42,60.187,5,1,4.938000000000002,12.547846213516925,0.0,0.0
20230910 06:43:47,60.187,5,1,4.813000000000002,12.407650599938473,-0.025,0.0
20230910 06:43:52,60.312,5,1,4.813000000000002,12.251650599938474,-0.025,0.0
20230910 06:43:57,60.375,5,1,4.688000000000002,12.158311740871007,-0.05,0.0
20230910 06:44:03,60.437,5,1,4.563000000000002,11.98641633381833,-0.037399999999999524,0.0
20230910 06:44:08,60.5,5,1,4.563000000000002,11.81452092676565,-0.049799999999999046,0.0
20230910 06:44:14,60.562,5,1,4.5,11.642229810441881,-0.037399999999999524,0.0
20230910 06:44:19,60.625,5,1,4.438000000000002,11.470337328902385,-0.037399999999999524,0.0
20230910 06:44:24,60.687,5,1,4.375,11.298038777326486,-0.03760000000000048,0.0
20230910 06:44:30,60.75,5,1,4.25,11.141800060824334,-0.03760000000000048,0.0
20230910 06:44:35,60.75,5,1,4.25,10.98556134432218,-0.03780000000000143,0.0
20230910 06:44:41,60.875,5,1,4.25,10.844701860707485,-0.025200000000000954,0.0
20230910 06:44:47,60.937,5,1,4.063000000000002,10.657211709125336,-0.025,0.0
20230910 06:44:52,60.937,5,1,4.063000000000002,10.500966486647062,-0.024799999999999045,0.0
20230910 06:44:58,61.062,5,1,4.063000000000002,10.391600610201891,-0.024799999999999045,0.0
20230910 06:45:03,61.125,5,1,3.9380000000000024,10.251472953979192,-0.037399999999999524,0.0
